,영화명,개봉일,국적,전국스크린수,장르,등급,러닝시간,글자수,첫날관객수
77,인셉션,2010-07-21,미국,528,드라마,12세관람가,147,3,149246
78,레미제라블,2012-12-19,미국,696,드라마,12세관람가,158,5,283842
79,캡틴 마블,2019-03-06,미국,"2,100",액션,12세관람가,123,3,461134
80,미션 임파서블 3,2006-05-03,미국,0,액션,15세관람가,124,6,127790
81,쥬라기 월드: 폴른 킹덤,2018-06-06,미국,"1,972",액션,12세관람가,127,5,1183496
82,청년경찰,2017-08-09,한국,"1,102",액션,15세관람가,109,4,308298
83,가문의 위기(가문의 영광2),2005-09-07,한국,0,코미디,15세관람가,115,5,94987
84,숨바꼭질,2013-08-14,한국,779,스릴러,15세관람가,107,4,293914
85,덕혜옹주,2016-08-03,한국,964,사극,12세관람가,127,4,267112
86,더 테러 라이브,2013-07-31,한국,743,범죄,15세관람가,97,6,215832
87,쥬라기 월드,2015-06-11,미국,"1,290",액션,12세관람가,125,5,274719
88,의형제,2010-02-04,한국,572,드라마,15세관람가,116,3,127542
89,감시자들,2013-07-03,한국,949,범죄,15세관람가,119,4,210052
90,2012,2009-11-12,미국,789,SF,12세관람가,157,4,304862
91,앤트맨과 와스프,2018-07-04,미국,"1,775",액션,12세관람가,118,7,404151
92,닥터 스트레인지,2016-10-26,미국,"1,503",액션,12세관람가,115,7,435068
93,검은 사제들,2015-11-05,한국,"1,088",미스터리,15세관람가,108,5,191090
94,안시성,2018-09-19,한국,"1,540",사극,12세관람가,135,3,122596
95,블랙 팬서,2018-02-14,미국,"1,620",액션,12세관람가,135,4,630461
96,완득이,2011-10-20,한국,500,드라마,12세관람가,107,3,59962
97,트랜스포머: 사라진 시대,2014-06-25,미국,"1,602",액션,12세관람가,164,5,467419
98,완벽한 타인,2018-10-31,한국,"1,313",드라마,15세관람가,115,5,274118
99,살인의 추억,2003-04-25,한국,0,스릴러,15세관람가,132,5,39962
100,조커,2019-10-02,미국,"1,418",액션,15세관람가,123,2,323409
101,월드 워 Z,2013-06-20,미국,964,드라마,15세관람가,115,4,239692
102,반지의 제왕 : 두개의 탑,2002-12-19,미국,0,액션,12세관람가,235,5,13237
103,타워,2012-12-25,한국,617,드라마,12세관람가,121,2,431704
104,말아톤,2005-01-27,한국,0,드라마,전체관람가,115,3,101181
105,미녀와 야수,2017-03-16,미국,"1,627",멜로/로맨스,전체관람가,129,5,166930
106,추격자,2008-02-14,한국,435,범죄,청소년관람불가,123,3,113673
107,독전,2018-05-22,한국,"1,357",범죄,15세관람가,123,2,376530
108,쿵푸팬더 2,2011-05-26,미국,948,애니메이션,전체관람가,91,4,130076
109,아쿠아맨,2018-12-19,미국,"1,285",액션,12세관람가,143,4,145383
